text,label
"Subject: Action Required: Please submit your monthly timesheet
Hello everyone, this is a friendly reminder to submit your timesheets for this month by Friday at 5 PM. Please ensure all project codes are entered correctly. Contact HR if you have issues.

Regards,
Team Support",legitimate
"Subject: Microsoft Office 365: Verify your login credentials
Your office account password expires today. To keep using your Outlook and OneDrive cloud applications, click here to keep current password: http://outlook-office365-update.xyz/verify-credential. Password expiration will happen in 3 hours.

Security Reference ID: PSG-9814.",phishing
"Subject: CONGRATULATIONS! You won the Mega Millions Raffle
You have been selected as the grand prize winner of $1,000,000.00 cash! To claim your lottery prize, please contact our agent at claim-prize@win-lottery-claims.com with your full name, phone number, and bank account details.

Security Reference ID: PSG-9895.",phishing
"Subject: Family Reunion photos shared with you
Hi, I have uploaded all the photos from the family reunion last Sunday to Google Photos. You can view them and download your favorites here: https://photos.google.com/share/family-reunion-2026. Hope you like them!

Regards,
Team Support",legitimate
"Subject: Action Required: Please submit your monthly timesheet
Hello everyone, this is a friendly reminder to submit your timesheets for this month by Friday at 5 PM. Please ensure all project codes are entered correctly. Contact HR if you have issues.

Regards,
Team Support",legitimate
"Subject: Action Required: Please submit your monthly timesheet
Hello everyone, this is a friendly reminder to submit your timesheets for this month by Friday at 5 PM. Please ensure all project codes are entered correctly. Contact HR if you have issues.

Regards,
Team Support",legitimate
"Subject: Invoice #847293 details from Quickbooks
Please find attached invoice #847293 for your recent order of software licenses. Amount Due: $2,850.00. Payment is past due. Review the invoice here: http://quickbooks-billing-pdf-viewer.com/invoices/847293.pdf and submit payment immediately.

Security Reference ID: PSG-985.",phishing
"Subject: FedEx: Package delivery failed - Action Required
Your parcel could not be delivered on 07/21/2026 due to an incorrect shipping address. Please update your home address and pay the redelivery fee of $1.50 at: http://fedex-redelivery-tracking-portal.com/update. Packages are held for only 48 hours.

Security Reference ID: PSG-9819.",phishing
"Subject: Action Required: Please submit your monthly timesheet
Hello everyone, this is a friendly reminder to submit your timesheets for this month by Friday at 5 PM. Please ensure all project codes are entered correctly. Contact HR if you have issues.

Regards,
Team Support",legitimate
"Subject: Exclusive Deal: 80% Off Designer Watches
Get replica Rolex, Omega, and Tag Heuer watches at a fraction of the cost. Free shipping worldwide. Visit http://replica-designer-watches-shop.biz today.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/41.",spam
